table,table_full_name,workbook,datasource,field_name,formula_chars
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,EOD IBAN Balance ,23
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Exchange Rate,38
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Holder Amount Filter,24
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Holder Currency  Credit,62
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Holder Currency  Debit,66
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,IBAN EOD Balance,117
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Is Credit,28
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Is Date For Report,69
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Last Transaction Time of Day,74
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Local  Currency Amount ,13
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Local Currency  Debit ,68
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Local Currency Credit,64
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Row  No,7
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Transaction Date ,18
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,Account Statement Databricks,Transaction Type ,911
BI_DB_DDR_Fact_MIMO_AllPlatforms,BI_DB_dbo.BI_DB_DDR_Fact_MIMO_AllPlatforms,Account Statement Report - Beta version ,FX Fee,Amount Orig Currency ,25
